Loading sequences.
Calculating pairwise edit distance.
143 / 703 > 3976 | cat | cow
144 / 703 > 4459 | cat | dog
145 / 703 > 4524 | cat | donkey
146 / 703 > 5634 | cat | elephant
147 / 703 > 5201 | cat | fatDormouse
148 / 703 > 4178 | cat | finWhale
149 / 703 > 4921 | cat | fruitBat
150 / 703 > 5311 | cat | gibbon
151 / 703 > 5220 | cat | gorilla
152 / 703 > 3484 | cat | graySeal
153 / 703 > 5492 | cat | guineaPig
154 / 703 > 3454 | cat | harborSeal
155 / 703 > 4557 | cat | hippopotamus
156 / 703 > 4477 | cat | horse
157 / 703 > 4718 | cat | human
158 / 703 > 4599 | cat | indianRhinoceros
159 / 703 > 5076 | cat | mouse
160 / 703 > 6056 | cat | opossum
161 / 703 > 5286 | cat | orangutan
162 / 703 > 4561 | cat | pig
163 / 703 > 5318 | cat | pigmyChimpanzee
164 / 703 > 6118 | cat | platypus
165 / 703 > 5496 | cat | rabbit
166 / 703 > 8951 | cat | randgen0
167 / 703 > 8991 | cat | randgen1
168 / 703 > 8990 | cat | randgen2
169 / 703 > 8956 | cat | randgen3
170 / 703 > 5084 | cat | rat
171 / 703 > 4605 | cat | sheep
172 / 703 > 4948 | cat | squirrel
173 / 703 > 5791 | cat | wallaroo
174 / 703 > 4574 | cat | whiteRhinoceros
175 / 703 > 4871 | chimpanzee | cow
176 / 703 > 4620 | chimpanzee | dog
177 / 703 > 4374 | chimpanzee | donkey
178 / 703 > 5119 | chimpanzee | elephant
179 / 703 > 4712 | chimpanzee | fatDormouse
180 / 703 > 5066 | chimpanzee | finWhale
181 / 703 > 4714 | chimpanzee | fruitBat
182 / 703 > 2746 | chimpanzee | gibbon
183 / 703 > 1869 | chimpanzee | gorilla
184 / 703 > 5474 | chimpanzee | graySeal
185 / 703 > 4887 | chimpanzee | guineaPig
186 / 703 > 5492 | chimpanzee | harborSeal
187 / 703 > 4354 | chimpanzee | hippopotamus
188 / 703 > 4333 | chimpanzee | horse
189 / 703 > 2498 | chimpanzee | human
190 / 703 > 4426 | chimpanzee | indianRhinoceros
191 / 703 > 4670 | chimpanzee | mouse
192 / 703 > 5507 | chimpanzee | opossum
193 / 703 > 2609 | chimpanzee | orangutan
194 / 703 > 4454 | chimpanzee | pig
195 / 703 > 697 | chimpanzee | pigmyChimpanzee
196 / 703 > 5520 | chimpanzee | platypus
197 / 703 > 4855 | chimpanzee | rabbit
198 / 703 > 8875 | chimpanzee | randgen0
199 / 703 > 8919 | chimpanzee | randgen1
200 / 703 > 8938 | chimpanzee | randgen2
201 / 703 > 8889 | chimpanzee | randgen3
202 / 703 > 4616 | chimpanzee | rat
203 / 703 > 4506 | chimpanzee | sheep
204 / 703 > 4513 | chimpanzee | squirrel
205 / 703 > 5112 | chimpanzee | wallaroo
206 / 703 > 4381 | chimpanzee | whiteRhinoceros
207 / 703 > 4375 | cow | dog
208 / 703 > 4144 | cow | donkey
209 / 703 > 5205 | cow | elephant
210 / 703 > 4743 | cow | fatDormouse
211 / 703 > 3360 | cow | finWhale
212 / 703 > 4523 | cow | fruitBat
213 / 703 > 4889 | cow | gibbon
214 / 703 > 4764 | cow | gorilla
215 / 703 > 3966 | cow | graySeal
216 / 703 > 5114 | cow | guineaPig
217 / 703 > 3963 | cow | harborSeal
218 / 703 > 3808 | cow | hippopotamus
219 / 703 > 4084 | cow | horse
220 / 703 > 4449 | cow | human
221 / 703 > 4256 | cow | indianRhinoceros
222 / 703 > 4583 | cow | mouse
223 / 703 > 5629 | cow | opossum
224 / 703 > 4867 | cow | orangutan
225 / 703 > 4064 | cow | pig
226 / 703 > 4842 | cow | pigmyChimpanzee
227 / 703 > 5634 | cow | platypus
228 / 703 > 5129 | cow | rabbit
229 / 703 > 8824 | cow | randgen0
230 / 703 > 8834 | cow | randgen1
231 / 703 > 8837 | cow | randgen2
